PA,SZ,AG,Sex,TOD,Pop,Time
Downtown Core,Bugis,75_to_79,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,75_to_79,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,75_to_79,Females,Landed Properties,0,2015
Downtown Core,Bugis,75_to_79,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,75_to_79,Females,Others,0,2015
Downtown Core,Bugis,80_to_84,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,80_to_84,Males,HDB 3-Room Flats,10,2015
Downtown Core,Bugis,80_to_84,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bugis,80_to_84,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,80_to_84,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,80_to_84,Males,Landed Properties,0,2015
Downtown Core,Bugis,80_to_84,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,80_to_84,Males,Others,0,2015
Downtown Core,Bugis,80_to_84,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,80_to_84,Females,HDB 3-Room Flats,20,2015
Downtown Core,Bugis,80_to_84,Females,HDB 4-Room Flats,20,2015
Downtown Core,Bugis,80_to_84,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,80_to_84,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,80_to_84,Females,Landed Properties,0,2015
Downtown Core,Bugis,80_to_84,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,80_to_84,Females,Others,0,2015
Downtown Core,Bugis,85_to_89,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,85_to_89,Males,HDB 3-Room Flats,10,2015
Downtown Core,Bugis,85_to_89,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bugis,85_to_89,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,85_to_89,Males,Landed Properties,0,2015
Downtown Core,Bugis,85_to_89,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,85_to_89,Males,Others,0,2015
Downtown Core,Bugis,85_to_89,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,85_to_89,Females,HDB 3-Room Flats,20,2015
Downtown Core,Bugis,85_to_89,Females,HDB 4-Room Flats,20,2015
Downtown Core,Bugis,85_to_89,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,85_to_89,Females,Landed Properties,0,2015
Downtown Core,Bugis,85_to_89,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bugis,85_to_89,Females,Others,0,2015
Downtown Core,Bugis,90_and_over,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bugis,90_and_over,Males,HDB 3-Room Flats,10,2015
Downtown Core,Bugis,90_and_over,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bugis,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bugis,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bugis,90_and_over,Males,Landed Properties,0,2015
